               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094564,            0.015061,                   0,             0.24526,             0.76506,             0.39284,             0.14529,            0.043233,           0.0094468,                   0,            0.070625,           0.0032639,           0.0032639
                   1,            0.056136,           0.0093823,                   0,             0.77731,             0.75904,             0.81206,             0.23691,            0.039079,           0.0063783,                   0,            0.040546,           0.0065181,           0.0065181
                   2,            0.049877,           0.0072592,                   0,             0.78906,             0.69857,             0.78339,             0.40139,             0.03016,           0.0058426,                   0,            0.010387,           0.0096922,           0.0096922
                   3,            0.050012,           0.0063863,                   0,             0.67402,             0.53614,             0.60153,              0.2506,            0.035835,           0.0067818,                   0,             0.00964,             0.00964,             0.00964
                   4,            0.048802,           0.0060314,                   0,             0.67336,             0.62048,             0.63818,             0.36608,            0.032768,           0.0062425,                   0,             0.00964,             0.00964,             0.00964
                   5,            0.047792,           0.0057404,                   0,             0.77493,             0.70522,             0.79546,             0.41361,            0.030211,           0.0051802,                   0,             0.00952,             0.00952,             0.00952
                   6,            0.043857,           0.0054346,                   0,             0.76586,             0.67771,             0.76385,             0.37726,            0.031383,           0.0053399,                   0,              0.0094,              0.0094,              0.0094
                   7,            0.043175,            0.005372,                   0,             0.77691,             0.71084,             0.80248,             0.47495,            0.024558,           0.0049574,                   0,             0.00928,             0.00928,             0.00928
                   8,            0.042179,           0.0051496,                   0,             0.93026,              0.8253,             0.91668,             0.57941,            0.024617,           0.0040327,                   0,             0.00916,             0.00916,             0.00916
                   9,            0.042268,           0.0048489,                   0,             0.82934,             0.81627,             0.90024,             0.40161,            0.029864,            0.004278,                   0,             0.00904,             0.00904,             0.00904
                  10,            0.041336,           0.0049757,                   0,             0.92103,             0.84306,             0.92689,             0.47844,            0.025019,           0.0037376,                   0,             0.00892,             0.00892,             0.00892
                  11,            0.040682,           0.0047739,                   0,             0.93856,             0.77711,             0.91113,             0.55844,            0.022142,           0.0041298,                   0,              0.0088,              0.0088,              0.0088
                  12,            0.039098,            0.004894,                   0,             0.86535,             0.83133,             0.91707,              0.6078,            0.021414,           0.0038236,                   0,             0.00868,             0.00868,             0.00868
                  13,            0.038336,           0.0046991,                   0,             0.90333,             0.78809,             0.87601,             0.54223,            0.025216,           0.0043595,                   0,             0.00856,             0.00856,             0.00856
                  14,            0.038283,           0.0046457,                   0,             0.89139,             0.90361,             0.95616,             0.55445,            0.023579,           0.0037887,                   0,             0.00844,             0.00844,             0.00844
                  15,            0.037313,           0.0045212,                   0,             0.87563,             0.82702,             0.91394,             0.59694,            0.022745,           0.0039292,                   0,             0.00832,             0.00832,             0.00832
                  16,            0.037098,           0.0045434,                   0,             0.91097,             0.89379,             0.94219,             0.63097,            0.021035,           0.0035424,                   0,              0.0082,              0.0082,              0.0082
                  17,             0.03706,           0.0044156,                   0,             0.94494,             0.87651,             0.94523,             0.66442,            0.020456,            0.003463,                   0,             0.00808,             0.00808,             0.00808
                  18,            0.037431,           0.0044046,                   0,             0.93342,             0.93072,             0.95669,             0.64476,            0.019498,           0.0034126,                   0,             0.00796,             0.00796,             0.00796
                  19,            0.036224,           0.0043737,                   0,             0.91296,             0.88253,              0.9466,             0.60096,             0.02038,            0.003475,                   0,             0.00784,             0.00784,             0.00784
                  20,            0.035381,           0.0043879,                   0,             0.90301,             0.91566,              0.9465,             0.63942,            0.020146,           0.0035109,                   0,             0.00772,             0.00772,             0.00772
                  21,            0.034908,           0.0043078,                   0,             0.89136,             0.90663,               0.944,             0.62074,            0.022391,           0.0037052,                   0,              0.0076,              0.0076,              0.0076
                  22,            0.033826,            0.004293,                   0,             0.91189,             0.90361,             0.94852,             0.63725,            0.021531,           0.0034961,                   0,             0.00748,             0.00748,             0.00748
                  23,            0.035441,           0.0041876,                   0,             0.92233,             0.92994,             0.95984,             0.67856,            0.020062,           0.0033354,                   0,             0.00736,             0.00736,             0.00736
                  24,            0.033358,           0.0042033,                   0,             0.95248,             0.90569,             0.95215,             0.66392,            0.020634,           0.0033454,                   0,             0.00724,             0.00724,             0.00724
