               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09882,            0.023059,            0.022114,             0.18186,             0.21508,              0.1432,            0.039112,            0.072453,            0.023272,            0.016041,            0.070682,           0.0032576,           0.0032576
                   1,            0.070424,            0.020926,            0.016655,             0.37963,             0.40873,             0.33623,             0.10256,            0.062311,            0.016157,             0.01144,            0.040603,           0.0065118,           0.0065118
                   2,            0.065703,             0.01563,            0.011674,             0.32382,             0.51798,             0.29751,            0.091838,             0.06804,            0.014466,           0.0081942,            0.010444,           0.0096861,           0.0096861
                   3,            0.061909,            0.014197,           0.0079272,              0.4314,             0.55376,             0.40066,             0.15548,            0.052814,            0.014785,           0.0060681,             0.00964,             0.00964,             0.00964
                   4,            0.057151,            0.013917,           0.0064227,             0.55296,             0.65163,             0.57059,             0.20802,            0.050245,             0.01821,           0.0033012,             0.00964,             0.00964,             0.00964
                   5,            0.054954,            0.013777,           0.0055428,             0.86424,             0.81279,             0.85154,             0.38068,             0.03964,            0.010978,            0.002742,             0.00952,             0.00952,             0.00952
                   6,            0.053039,             0.01317,           0.0050661,             0.85583,             0.77533,             0.85205,             0.42826,            0.037704,            0.010776,           0.0037597,              0.0094,              0.0094,              0.0094
                   7,            0.051786,            0.012941,           0.0046035,             0.88206,             0.85331,             0.88633,             0.44852,            0.036066,            0.010473,           0.0025272,             0.00928,             0.00928,             0.00928
                   8,            0.050755,             0.01266,           0.0041587,             0.89286,             0.86078,             0.89897,             0.47018,            0.035476,            0.010653,           0.0024604,             0.00916,             0.00916,             0.00916
                   9,            0.049847,            0.012696,           0.0041259,             0.87845,             0.82467,             0.89117,             0.43497,            0.037641,             0.01039,           0.0034658,             0.00904,             0.00904,             0.00904
                  10,            0.049959,            0.012457,           0.0040121,             0.88703,              0.8918,             0.91514,              0.4501,            0.037189,           0.0097439,           0.0022398,             0.00892,             0.00892,             0.00892
                  11,             0.04861,            0.012112,           0.0037625,             0.91875,             0.89618,             0.92987,             0.50448,            0.032449,           0.0094871,           0.0018846,              0.0088,              0.0088,              0.0088
                  12,            0.047647,            0.012181,           0.0034206,              0.9344,             0.89726,             0.93299,             0.51842,            0.031586,           0.0091998,           0.0018886,             0.00868,             0.00868,             0.00868
                  13,            0.047905,            0.012049,           0.0037091,             0.92834,             0.90254,             0.93335,             0.49596,            0.033358,           0.0094012,           0.0019653,             0.00856,             0.00856,             0.00856
                  14,            0.047112,              0.0119,           0.0034092,             0.94893,             0.90064,             0.94589,             0.49947,            0.034453,           0.0093389,           0.0019961,             0.00844,             0.00844,             0.00844
                  15,            0.046875,            0.012004,           0.0032726,             0.94642,             0.91843,              0.9449,             0.52921,            0.031126,           0.0094101,           0.0023443,             0.00832,             0.00832,             0.00832
                  16,            0.046639,            0.011725,           0.0031648,             0.95569,             0.93183,             0.95076,             0.53522,            0.031074,           0.0093024,           0.0016435,              0.0082,              0.0082,              0.0082
