                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4263,                 2.7623,                 1.6576,                0.46321,                0.46847,                 0.4573,                0.21306,                 1.7948,                 3.2356,                 2.3492,                0.00034,                0.00034,                0.00034
                      2,                 1.3353,                 1.6207,                 1.5779,                0.19062,                0.39189,                0.14211,                0.05204,                 2.2759,                 8.7273,                 3.5149,             0.00069076,             0.00069076,             0.00069076
                      3,                 1.4674,                  1.628,                 1.6409,                   0.09,                0.08108,                 0.0236,                0.00676,                 3.1191,                 46.158,                 4.3881,               0.001032,               0.001032,               0.001032
                      4,                 1.6974,                 1.9098,                 1.8894,                0.01302,                0.24775,                0.00713,                0.00211,                   3.28,                    inf,                 5.7579,              0.0013638,              0.0013638,              0.0013638
                      5,                 1.6401,                 1.8701,                 1.8178,                0.12698,                0.21622,                0.06136,                0.01536,                 2.8822,                 56.857,                 5.5359,               0.001686,               0.001686,               0.001686
                      6,                 1.6703,                 1.8188,                 1.8365,                0.05725,                 0.2027,                0.02475,                0.00726,                 2.9827,                 80.239,                 5.0929,               0.001868,               0.001868,               0.001868
                      7,                 1.6936,                  1.888,                 1.8567,                 0.0089,                0.02703,                0.00169,                0.00036,                 4.0532,                    inf,                 6.0414,               0.001868,               0.001868,               0.001868
                      8,                 1.5514,                  1.766,                 1.7522,                 0.1162,                0.26577,                0.11322,                0.03712,                  2.746,                 22.261,                 3.9737,              0.0018416,              0.0018416,              0.0018416
                      9,                 1.5583,                 1.6831,                 1.7607,                0.28322,                0.38739,                0.25986,                0.09303,                 2.2433,                 9.1183,                 3.0468,              0.0018152,              0.0018152,              0.0018152
                     10,                 1.5724,                 1.7224,                 1.7468,                0.20601,                0.34685,                 0.1521,                0.05645,                 2.0884,                 7.3504,                 2.8953,              0.0017888,              0.0017888,              0.0017888
                     11,                 1.4918,                 1.6342,                 1.7158,                0.41472,                0.37387,                0.34601,                0.11579,                 2.2294,                 3.1771,                 3.2198,              0.0017624,              0.0017624,              0.0017624
                     12,                 1.5537,                  1.617,                 1.7349,                0.46986,                0.37838,                0.38527,                0.18336,                 2.0808,                 3.8929,                 2.7818,               0.001736,               0.001736,               0.001736
                     13,                 1.5238,                 1.6165,                 1.7005,                 0.2451,                0.37387,                0.23174,                0.09337,                  2.263,                 4.5263,                 2.9306,              0.0017096,              0.0017096,              0.0017096
                     14,                 1.4993,                 1.4877,                 1.6604,                 0.6177,                0.46581,                 0.5181,                0.23303,                 1.9349,                 2.7408,                 2.6559,              0.0016832,              0.0016832,              0.0016832
                     15,                 1.4724,                 1.4842,                 1.6377,                0.68841,                0.60811,                0.66072,                0.32933,                 1.7617,                 1.9647,                 2.3502,              0.0016568,              0.0016568,              0.0016568
                     16,                 1.4155,                 1.4094,                 1.6184,                0.62254,                0.42793,                0.49682,                 0.2014,                 2.1226,                  2.059,                 2.7151,              0.0016304,              0.0016304,              0.0016304
                     17,                 1.3909,                 1.3982,                 1.6044,                0.65714,                0.61298,                0.66991,                0.34413,                 1.6725,                 2.1648,                 2.3388,               0.001604,               0.001604,               0.001604
                     18,                 1.4073,                 1.3782,                 1.6075,                0.70435,                0.52252,                0.62758,                0.28095,                 1.8434,                 2.1549,                 2.4668,              0.0015776,              0.0015776,              0.0015776
