               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11817,            0.019263,                   0,            0.011965,              0.5045,            0.011628,           0.0028095,             0.10615,            0.012861,                   0,              0.0901,              0.0011,              0.0011
                   1,            0.093131,            0.015735,                   0,           0.0038272,             0.97748,            0.027828,           0.0079628,            0.062318,           0.0098516,                   0,            0.079272,           0.0022724,           0.0022724
                   2,            0.074343,            0.013282,                   0,            0.054881,             0.85135,             0.13777,            0.049161,            0.054587,           0.0086253,                   0,            0.068416,            0.003416,            0.003416
                   3,             0.06754,            0.011843,                   0,             0.41861,             0.53191,             0.48194,             0.17651,            0.050075,            0.007485,                   0,            0.057531,           0.0045308,           0.0045308
                   4,            0.060178,            0.011303,                   0,             0.66445,              0.6036,             0.65034,             0.31063,            0.051628,           0.0071349,                   0,            0.046617,           0.0056168,           0.0056168
                   5,            0.057295,            0.010769,                   0,              0.7238,              0.5991,             0.66895,             0.31596,            0.052976,             0.00755,                   0,            0.035674,            0.006674,            0.006674
                   6,            0.055027,            0.010425,                   0,             0.72011,             0.59107,             0.67004,             0.32507,            0.048631,           0.0072321,                   0,            0.024702,           0.0077024,           0.0077024
                   7,             0.05417,            0.010043,                   0,             0.51561,             0.43694,             0.47983,             0.20197,            0.056922,            0.008875,                   0,            0.013702,            0.008702,            0.008702
                   8,            0.056066,           0.0091722,                   0,             0.49749,             0.53153,             0.48815,             0.18696,            0.053036,           0.0066944,                   0,             0.00904,             0.00904,             0.00904
                   9,             0.05391,           0.0093561,                   0,             0.43929,             0.51524,             0.41447,             0.16732,            0.054926,           0.0088696,                   0,             0.00904,             0.00904,             0.00904
                  10,            0.054021,           0.0089821,                   0,             0.48542,             0.45946,             0.39363,              0.1414,            0.058378,           0.0093845,                   0,             0.00892,             0.00892,             0.00892
                  11,             0.05219,           0.0087105,                   0,             0.25981,             0.48649,             0.22799,            0.098563,            0.055469,            0.009248,                   0,              0.0088,              0.0088,              0.0088
                  12,            0.053607,           0.0085455,                   0,             0.50418,             0.53153,                0.52,             0.21808,            0.047746,           0.0092722,                   0,             0.00868,             0.00868,             0.00868
                  13,            0.051198,           0.0086317,                   0,             0.48013,             0.59009,             0.41215,             0.17334,             0.05097,           0.0074806,                   0,             0.00856,             0.00856,             0.00856
                  14,            0.051545,            0.008498,                   0,             0.22211,             0.21622,             0.12821,            0.047844,            0.052738,           0.0069517,                   0,             0.00844,             0.00844,             0.00844
                  15,            0.050899,            0.008265,                   0,             0.53895,              0.4897,               0.526,             0.22549,            0.043646,           0.0065279,                   0,             0.00832,             0.00832,             0.00832
                  16,            0.049203,           0.0083345,                   0,             0.49801,             0.44144,             0.44754,             0.19174,            0.048951,           0.0066116,                   0,              0.0082,              0.0082,              0.0082
