               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11271,            0.017602,                   0,            0.031092,              0.5625,            0.045983,            0.011972,            0.060117,            0.011508,                   0,              0.0784,              0.0024,              0.0024
                   1,            0.079042,            0.013232,                   0,            0.061222,             0.70833,             0.19538,            0.059646,            0.044822,            0.008254,                   0,            0.055841,           0.0048412,           0.0048412
                   2,            0.062309,            0.010645,                   0,             0.31822,             0.27083,              0.2631,            0.098174,             0.03888,           0.0081148,                   0,            0.033222,           0.0072224,           0.0072224
                   3,            0.056963,           0.0090132,                   0,             0.53653,              0.4375,              0.4652,             0.19867,            0.036641,           0.0068125,                   0,            0.010544,           0.0095436,           0.0095436
                   4,            0.054098,           0.0080531,                   0,             0.32407,             0.35417,             0.31096,             0.10231,            0.041834,            0.008845,                   0,             0.00952,             0.00952,             0.00952
                   5,            0.053221,           0.0075873,                   0,             0.49223,             0.54167,             0.43891,             0.14777,             0.04609,           0.0069964,                   0,             0.00952,             0.00952,             0.00952
                   6,            0.053917,           0.0070857,                   0,             0.55251,             0.59163,             0.54568,             0.19261,            0.042533,           0.0055969,                   0,              0.0094,              0.0094,              0.0094
                   7,            0.052002,           0.0070241,                   0,             0.37338,             0.46553,             0.37279,             0.17929,            0.037735,           0.0097156,                   0,             0.00928,             0.00928,             0.00928
                   8,            0.050636,           0.0068752,                   0,             0.38369,             0.48639,             0.39253,             0.17832,            0.038509,           0.0074948,                   0,             0.00916,             0.00916,             0.00916
                   9,            0.049234,           0.0065793,                   0,             0.37242,             0.57292,             0.44377,             0.15286,            0.042164,            0.009088,                   0,             0.00904,             0.00904,             0.00904
                  10,            0.050271,           0.0065055,                   0,             0.63542,             0.43574,             0.50098,             0.29116,            0.035237,           0.0063496,                   0,             0.00892,             0.00892,             0.00892
                  11,            0.047942,           0.0060529,                   0,             0.63273,             0.66667,             0.65195,             0.32431,            0.038351,           0.0054521,                   0,              0.0088,              0.0088,              0.0088
                  12,            0.042109,           0.0060417,                   0,             0.65111,             0.57292,             0.63487,             0.33607,            0.033255,           0.0056774,                   0,             0.00868,             0.00868,             0.00868
                  13,            0.045462,           0.0059152,                   0,             0.64526,             0.68212,             0.64353,             0.31064,            0.037649,           0.0049715,                   0,             0.00856,             0.00856,             0.00856
                  14,            0.045135,           0.0059896,                   0,             0.73884,             0.73675,             0.71603,             0.27078,             0.03568,            0.004797,                   0,             0.00844,             0.00844,             0.00844
                  15,            0.043223,           0.0058766,                   0,              0.6203,             0.63542,             0.65262,             0.25797,            0.029509,           0.0051573,                   0,             0.00832,             0.00832,             0.00832
                  16,            0.043152,            0.005828,                   0,             0.67268,             0.72786,             0.71109,             0.40592,             0.03082,           0.0050836,                   0,              0.0082,              0.0082,              0.0082
                  17,            0.039959,           0.0059087,                   0,             0.88513,                0.75,             0.84394,             0.49698,            0.027896,           0.0044402,                   0,             0.00808,             0.00808,             0.00808
                  18,            0.040756,           0.0056809,                   0,             0.88096,             0.71875,             0.81687,              0.5322,            0.032269,           0.0039308,                   0,             0.00796,             0.00796,             0.00796
                  19,            0.039805,           0.0053904,                   0,              0.9007,             0.73958,             0.81065,              0.4562,            0.031977,           0.0042621,                   0,             0.00784,             0.00784,             0.00784
                  20,            0.039161,           0.0053233,                   0,             0.87038,             0.77083,             0.84311,              0.5405,            0.025753,           0.0037686,                   0,             0.00772,             0.00772,             0.00772
                  21,            0.038922,           0.0052332,                   0,             0.82589,             0.80208,             0.87527,             0.53343,            0.030805,           0.0038768,                   0,              0.0076,              0.0076,              0.0076
                  22,            0.038339,            0.005421,                   0,             0.88807,             0.80208,             0.87342,             0.54474,            0.029502,           0.0036253,                   0,             0.00748,             0.00748,             0.00748
                  23,            0.041112,           0.0055941,                   0,             0.92411,             0.76112,             0.85704,             0.52835,            0.026372,           0.0036397,                   0,             0.00736,             0.00736,             0.00736
                  24,            0.035832,           0.0051112,                   0,             0.81844,             0.73958,             0.80492,             0.50266,            0.030818,           0.0037111,                   0,             0.00724,             0.00724,             0.00724
                  25,            0.037092,           0.0051684,                   0,             0.89057,             0.76301,              0.8475,             0.50278,            0.029318,           0.0037858,                   0,             0.00712,             0.00712,             0.00712
                  26,            0.039013,           0.0050473,                   0,             0.81412,             0.82121,             0.82735,             0.57866,            0.021867,           0.0037845,                   0,               0.007,               0.007,               0.007
                  27,            0.038287,           0.0051408,                   0,             0.84069,             0.82292,             0.86433,             0.57233,            0.023789,           0.0035077,                   0,             0.00688,             0.00688,             0.00688
